,date,web-link,text
166,24.12.24,?id22=667525,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-563-01326-B-001P"
167,24.12.24,?id22=667523,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-562-01326-B-001P"
168,24.12.24,?id22=667521,"О присвоении ISIN кода облигациям Государственной компании ""Автодор"", выпуск 4-27-00011-T-002P"
169,24.12.24,?id22=667519,"О присвоении ISIN кода облигациям ООО ""ЕвроСибЭнерго-Гидрогенерация"", выпуск 4B02-06-00660-R-001P"
170,24.12.24,?id22=667517,"О присвоении ISIN кода облигациям Банк ГПБ (АО), выпуск 4B02-15-00354-B-004P"
171,24.12.24,?id22=667515,"О присвоении ISIN кода облигациям ПАО ""АПРИ"", выпуск 4B02-08-12464-K-002P"
172,24.12.24,?id22=667513,"О присвоении ISIN кода облигациям Банка ВТБ (ПАО), выпуск 4B02-866-01000-B-005P"
173,23.12.24,?id22=667507,"О присвоении ISIN кода облигациям ООО ""СОПФ ДОМ.РФ"", выпуск 4-11-00598-R-001P"
174,23.12.24,?id22=667505,"О присвоении ISIN кода облигациям ПАО ""Россети Московский регион"", ПАО ""Россети МР"", выпуск 4B02-08-65116-D-001P"
175,23.12.24,?id22=667497,"О присвоении ISIN кода облигациям АО ""ХК ""МЕТАЛЛОИНВЕСТ"", выпуск 4B02-09-25642-H-001P"
176,23.12.24,?id22=667491,"О присвоении ISIN кода облигациям АО ""ЭР-Телеком Холдинг"", выпуск 4B02-07-53015-K-002P"
177,23.12.24,?id22=667489,"О присвоении ISIN кода облигациям ООО ""МИРРИКО"", выпуск 4B02-02-00153-L-001P"
178,23.12.24,?id22=667487,"О присвоении ISIN кода облигациям ООО ""ДельтаЛизинг"", выпуск 4CDE-01-00154-L"
179,23.12.24,?id22=667485,"О присвоении ISIN кода облигациям Банка ВТБ (ПАО), выпуск 4B02-865-01000-B-005P"
180,20.12.24,?id22=667479,"О присвоении ISIN кода облигациям Департамента финансов Томской области, выпуск RU36073TMS0"
181,20.12.24,?id22=667477,"О присвоении ISIN кода облигациям АО ""Созидание"", выпуск 4CDE-01-72135-H"
182,20.12.24,?id22=667471,"О присвоении ISIN кода облигациям Государственной компании ""Автодор"", выпуск 4-13-00011-T-004P"
183,20.12.24,?id22=667465,"О присвоении ISIN кода облигациям ООО ""Мираторг Финанс"", выпуск 4B02-02-36276-R-001P"
184,20.12.24,?id22=667463,"О присвоении ISIN кода облигациям Банка ВТБ (ПАО), выпуск 4B02-864-01000-B-005P"
185,19.12.24,?id22=667451,"О присвоении ISIN кода облигациям ООО ""Совком Секьюритиз"", выпуск 4B02-01-00190-L-001P"
186,19.12.24,?id22=667449,"О присвоении ISIN кода облигациям ООО ""СФО РУБИДИЙ КАПИТАЛ"", выпуск 6-01-00819-R"
187,19.12.24,?id22=667445,"О присвоении ISIN кода облигациям ПАО ""МТС"", выпуск 4B02-03-04715-A-002P"
188,19.12.24,?id22=667443,"О присвоении ISIN кода облигациям Банка ВТБ (ПАО), выпуск 4B02-863-01000-B-005P"
189,18.12.24,?id22=667437,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-561-01326-B-001P"
190,18.12.24,?id22=667435,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-560-01326-B-001P"
191,18.12.24,?id22=667433,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-559-01326-B-001P"
192,18.12.24,?id22=667431,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-558-01326-B-001P"
193,18.12.24,?id22=667429,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-557-01326-B-001P"
194,18.12.24,?id22=667427,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-556-01326-B-001P"
195,18.12.24,?id22=667425,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-555-01326-B-001P"
196,18.12.24,?id22=667423,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-554-01326-B-001P"
197,18.12.24,?id22=667421,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-553-01326-B-001P"
198,18.12.24,?id22=667419,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-552-01326-B-001P"
199,18.12.24,?id22=667417,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-551-01326-B-001P"
200,18.12.24,?id22=667415,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-550-01326-B-001P"
201,18.12.24,?id22=667413,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-549-01326-B-001P"
202,18.12.24,?id22=667411,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-548-01326-B-001P"
203,18.12.24,?id22=667409,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-547-01326-B-001P"
204,18.12.24,?id22=667407,"О присвоении ISIN кода облигациям ПАО ""ТГК-14"", выпуск 4B02-03-22451-F-001P"
205,18.12.24,?id22=667405,"О присвоении ISIN кода облигациям ПАО ""ТГК-14"", выпуск 4B02-04-22451-F-001P"
206,18.12.24,?id22=667403,"О присвоении ISIN кода облигациям ООО ""СФО АТОН Структурные Решения"", выпуск 6-107-00796-R-001P"
207,18.12.24,?id22=667401,"О присвоении ISIN кода облигациям ООО ""СФО АТОН Структурные Решения"", выпуск 6-106-00796-R-001P"
208,18.12.24,?id22=667399,"О присвоении ISIN кода облигациям ПАО ""Совкомбанк"", выпуск 6-03-00963-B-001P"
209,18.12.24,?id22=667397,"О присвоении ISIN кода облигациям АО ""Полипласт"", выпуск 4B02-01-06757-A-002P"
